geo_code_long,GEO_NAME,year,raceth,racethd,immig,sex,racethdimmigsex,phhnocar_acsglyt,nhhnocar_acsglyt,phhrent_acsglyt,pbaplus_acsglyt,pnhw_acsglyt,pnhb_acsglyt,phis_acsglyt,pnhapi_acsglyt,pnaian_acsglyt,pnhoo_acsglyt,ppoc_acsglyt
04000000000001001,"Autauga, AL",2000,All,All,All,All people,All,.0520,832,.1917,.1802,.7974,.1701,.0140,.0047,.0043,.0096,.2026
04000000000001003,"Baldwin, AL",2000,All,All,All,All people,All,.0423,2340,.2042,.2307,.8608,.1022,.0176,.0040,.0054,.0100,.1392
04000000000001005,"Barbour, AL",2000,All,All,All,All people,All,.1252,1303,.2684,.1094,.5093,.4604,.0165,.0031,.0041,.0067,.4907
04000000000001007,"Bibb, AL",2000,All,All,All,All people,All,.0970,719,.1980,.0708,.7620,.2201,.0101,.0009,.0022,.0047,.2380
04000000000001009,"Blount, AL",2000,All,All,All,All people,All,.0541,1040,.1650,.0958,.9211,.0117,.0533,.0015,.0042,.0083,.0789
04000000000001011,"Bullock, AL",2000,All,All,All,All people,All,.1761,700,.2557,.0771,.2360,.7244,.0275,.0019,.0032,.0071,.7640
04000000000001013,"Butler, AL",2000,All,All,All,All people,All,.1203,1007,.2380,.1038,.5808,.4052,.0067,.0016,.0021,.0036,.4192
04000000000001015,"Calhoun, AL",2000,All,All,All,All people,All,.0787,3564,.2750,.1522,.7804,.1846,.0156,.0062,.0038,.0093,.2196
04000000000001017,"Chambers, AL",2000,All,All,All,All people,All,.1016,1475,.2430,.0954,.6044,.3792,.0077,.0019,.0013,.0055,.3956
04000000000001019,"Cherokee, AL",2000,All,All,All,All people,All,.0594,576,.1827,.0969,.9240,.0553,.0085,.0013,.0031,.0078,.0760
04000000000001021,"Chilton, AL",2000,All,All,All,All people,All,.0704,1076,.1777,.0994,.8561,.1043,.0291,.0017,.0028,.0059,.1439
04000000000001023,"Choctaw, AL",2000,All,All,All,All people,All,.1095,697,.1366,.0958,.5479,.4387,.0067,.0004,.0015,.0048,.4521
04000000000001025,"Clarke, AL",2000,All,All,All,All people,All,.1126,1190,.1884,.1206,.5569,.4277,.0065,.0017,.0022,.0051,.4431
04000000000001027,"Clay, AL",2000,All,All,All,All people,All,.0839,483,.2278,.0782,.8149,.1557,.0177,.0009,.0031,.0076,.1851
04000000000001029,"Cleburne, AL",2000,All,All,All,All people,All,.0614,343,.1957,.0922,.9371,.0369,.0140,.0014,.0029,.0076,.0629
04000000000001031,"Coffee, AL",2000,All,All,All,All people,All,.0750,1306,.2861,.1930,.7560,.1823,.0271,.0103,.0089,.0155,.2440
04000000000001033,"Colbert, AL",2000,All,All,All,All people,All,.0642,1441,.2429,.1410,.8088,.1654,.0112,.0025,.0035,.0085,.1912
04000000000001035,"Conecuh, AL",2000,All,All,All,All people,All,.1157,670,.1894,.0921,.5508,.4323,.0072,.0015,.0019,.0062,.4492
04000000000001037,"Coosa, AL",2000,All,All,All,All people,All,.0807,378,.1519,.0803,.6345,.3399,.0129,.0004,.0032,.0091,.3655
04000000000001039,"Covington, AL",2000,All,All,All,All people,All,.0877,1371,.2228,.1222,.8569,.1227,.0078,.0018,.0048,.0060,.1431
04000000000001041,"Crenshaw, AL",2000,All,All,All,All people,All,.1149,643,.2338,.1123,.7349,.2465,.0064,.0012,.0037,.0073,.2651
04000000000001043,"Cullman, AL",2000,All,All,All,All people,All,.0633,1941,.2193,.1189,.9543,.0094,.0218,.0021,.0036,.0089,.0457
04000000000001045,"Dale, AL",2000,All,All,All,All people,All,.0635,1198,.3576,.1401,.7281,.2016,.0334,.0119,.0058,.0192,.2719
04000000000001047,"Dallas, AL",2000,All,All,All,All people,All,.1617,2883,.3431,.1393,.3541,.6298,.0063,.0035,.0010,.0054,.6459
04000000000001049,"DeKalb, AL",2000,All,All,All,All people,All,.0612,1537,.2128,.0827,.9067,.0165,.0555,.0018,.0074,.0121,.0933
04000000000001051,"Elmore, AL",2000,All,All,All,All people,All,.0413,940,.1860,.1661,.7647,.2050,.0122,.0037,.0041,.0102,.2353
04000000000001053,"Escambia, AL",2000,All,All,All,All people,All,.0921,1318,.2294,.1057,.6393,.3069,.0099,.0027,.0300,.0112,.3607
04000000000001055,"Etowah, AL",2000,All,All,All,All people,All,.0756,3146,.2561,.1343,.8208,.1461,.0170,.0044,.0032,.0084,.1792
04000000000001057,"Fayette, AL",2000,All,All,All,All people,All,.0814,610,.2278,.0920,.8648,.1189,.0082,.0015,.0019,.0047,.1352
04000000000001059,"Franklin, AL",2000,All,All,All,All people,All,.0832,1019,.2568,.0969,.8733,.0419,.0742,.0011,.0028,.0067,.1267
04000000000001061,"Geneva, AL",2000,All,All,All,All people,All,.0791,829,.1939,.0869,.8609,.1058,.0176,.0015,.0073,.0070,.1391
04000000000001063,"Greene, AL",2000,All,All,All,All people,All,.1630,639,.2438,.1050,.1903,.7985,.0058,.0008,.0012,.0034,.8097
04000000000001065,"Hale, AL",2000,All,All,All,All people,All,.1564,1003,.1978,.0810,.3959,.5862,.0091,.0017,.0017,.0054,.6041
04000000000001067,"Henry, AL",2000,All,All,All,All people,All,.0915,597,.1910,.1409,.6528,.3217,.0153,.0007,.0020,.0075,.3472
04000000000001069,"Houston, AL",2000,All,All,All,All people,All,.0825,2958,.3053,.1844,.7243,.2444,.0126,.0063,.0036,.0087,.2757
04000000000001071,"Jackson, AL",2000,All,All,All,All people,All,.0719,1554,.2207,.1042,.9124,.0371,.0113,.0024,.0172,.0196,.0876
04000000000001073,"Jefferson, AL",2000,All,All,All,All people,All,.0993,26148,.3353,.2461,.5735,.3922,.0155,.0091,.0020,.0077,.4265
04000000000001075,"Lamar, AL",2000,All,All,All,All people,All,.0816,528,.2313,.0779,.8611,.1194,.0130,.0006,.0009,.0050,.1389
04000000000001077,"Lauderdale, AL",2000,All,All,All,All people,All,.0600,2164,.2676,.1848,.8781,.0980,.0102,.0036,.0025,.0076,.1219
04000000000001079,"Lawrence, AL",2000,All,All,All,All people,All,.0771,1043,.1693,.0752,.7729,.1325,.0105,.0010,.0528,.0301,.2271
04000000000001081,"Lee, AL",2000,All,All,All,All people,All,.0678,3100,.3788,.2791,.7324,.2255,.0143,.0164,.0022,.0092,.2676
04000000000001083,"Limestone, AL",2000,All,All,All,All people,All,.0659,1625,.2270,.1691,.8244,.1325,.0265,.0036,.0045,.0085,.1756
04000000000001085,"Lowndes, AL",2000,All,All,All,All people,All,.1512,741,.1655,.1099,.2571,.7304,.0063,.0013,.0011,.0037,.7429
04000000000001087,"Macon, AL",2000,All,All,All,All people,All,.1881,1680,.3271,.1875,.1382,.8421,.0072,.0038,.0016,.0071,.8618
04000000000001089,"Madison, AL",2000,All,All,All,All people,All,.0558,6135,.3014,.3426,.7101,.2262,.0189,.0190,.0075,.0183,.2899
04000000000001091,"Marengo, AL",2000,All,All,All,All people,All,.1437,1256,.2077,.1205,.4695,.5138,.0097,.0017,.0008,.0044,.5305
04000000000001093,"Marion, AL",2000,All,All,All,All people,All,.0890,1131,.2215,.0795,.9415,.0362,.0115,.0016,.0029,.0063,.0585
04000000000001095,"Marshall, AL",2000,All,All,All,All people,All,.0693,2257,.2527,.1390,.9130,.0145,.0566,.0026,.0050,.0082,.0870
04000000000001097,"Mobile, AL",2000,All,All,All,All people,All,.0893,13410,.3115,.1864,.6247,.3322,.0122,.0142,.0066,.0101,.3753
04000000000001099,"Monroe, AL",2000,All,All,All,All people,All,.1054,989,.1956,.1179,.5740,.3981,.0078,.0029,.0095,.0077,.4260
04000000000001101,"Montgomery, AL",2000,All,All,All,All people,All,.0979,8428,.3595,.2851,.4826,.4839,.0119,.0101,.0024,.0092,.5174
04000000000001103,"Morgan, AL",2000,All,All,All,All people,All,.0626,2730,.2688,.1839,.8336,.1115,.0328,.0046,.0065,.0109,.1664
04000000000001105,"Perry, AL",2000,All,All,All,All people,All,.1663,725,.2625,.1012,.3071,.6793,.0086,.0005,.0008,.0038,.6929
04000000000001107,"Pickens, AL",2000,All,All,All,All people,All,.1185,958,.2080,.0977,.5574,.4268,.0070,.0013,.0011,.0064,.4426
04000000000001109,"Pike, AL",2000,All,All,All,All people,All,.1142,1364,.3280,.1844,.6009,.3637,.0123,.0037,.0064,.0130,.3991
04000000000001111,"Randolph, AL",2000,All,All,All,All people,All,.0787,681,.2088,.1003,.7569,.2211,.0122,.0023,.0018,.0057,.2431
04000000000001113,"Russell, AL",2000,All,All,All,All people,All,.1265,2493,.3763,.0968,.5612,.4063,.0150,.0042,.0033,.0100,.4388
04000000000001115,"St Clair, AL",2000,All,All,All,All people,All,.0486,1174,.1631,.1113,.8946,.0811,.0106,.0019,.0036,.0082,.1054
04000000000001117,"Shelby, AL",2000,All,All,All,All people,All,.0340,1860,.1906,.3679,.8860,.0738,.0203,.0104,.0031,.0065,.1140
04000000000001119,"Sumter, AL",2000,All,All,All,All people,All,.1933,1105,.2767,.1247,.2577,.7243,.0112,.0011,.0009,.0048,.7423
04000000000001121,"Talladega, AL",2000,All,All,All,All people,All,.1024,3143,.2364,.1121,.6648,.3138,.0101,.0022,.0021,.0069,.3352
04000000000001123,"Tallapoosa, AL",2000,All,All,All,All people,All,.0937,1563,.2367,.1415,.7316,.2529,.0058,.0019,.0026,.0053,.2684
04000000000001125,"Tuscaloosa, AL",2000,All,All,All,All people,All,.0838,5409,.3652,.2403,.6755,.2919,.0129,.0092,.0021,.0083,.3245
04000000000001127,"Walker, AL",2000,All,All,All,All people,All,.0753,2135,.1999,.0913,.9172,.0611,.0086,.0022,.0028,.0082,.0828
04000000000001129,"Washington, AL",2000,All,All,All,All people,All,.0820,550,.1183,.0862,.6450,.2662,.0088,.0008,.0708,.0082,.3550
04000000000001131,"Wilcox, AL",2000,All,All,All,All people,All,.2007,960,.1674,.1016,.2739,.7148,.0074,.0008,.0014,.0017,.7261
04000000000001133,"Winston, AL",2000,All,All,All,All people,All,.0774,783,.1999,.0828,.9683,.0037,.0150,.0013,.0043,.0074,.0317
04000000000002013,"Aleutians East, AK",2000,All,All,All,All people,All,.2795,147,.4163,.0488,.1932,.0156,.1257,.2670,.3704,.0282,.8068
04000000000002016,"Aleutians West, AK",2000,All,All,All,All people,All,.2071,263,.7220,.1103,.3768,.0302,.1048,.2509,.2079,.0295,.6232
04000000000002020,"Anchorage, AK",2000,All,All,All,All people,All,.0641,6077,.3996,.2891,.6992,.0564,.0569,.0636,.0704,.0537,.3008
04000000000002050,"Bethel, AK",2000,All,All,All,All people,All,.5843,2465,.3909,.1309,.1223,.0037,.0087,.0111,.8161,.0380,.8777
04000000000002060,"Bristol Bay, AK",2000,All,All,All,All people,All,.1065,51,.4898,.2119,.5215,.0056,.0056,.0072,.4372,.0231,.4785
04000000000002068,"Denali, AK",2000,All,All,All,All people,All,.0556,43,.3525,.2270,.8452,.0143,.0248,.0169,.0470,.0518,.1548
04000000000002070,"Dillingham, AK",2000,All,All,All,All people,All,.3886,591,.3936,.1643,.2095,.0037,.0226,.0063,.6938,.0642,.7905
04000000000002090,"Fairbanks North Star, AK",2000,All,All,All,All people,All,.0655,1949,.4603,.2703,.7598,.0570,.0415,.0232,.0676,.0510,.2402
04000000000002100,"Haines, AK",2000,All,All,All,All people,All,.0794,78,.3023,.2381,.8194,.0013,.0138,.0079,.1133,.0443,.1806
04000000000002105,"Hoonah-Angoon Census Area, AK",2000,All,All,All,All people,All,.3357,325,.3582,.2023,,,,,,,
04000000000002110,"Juneau, AK",2000,All,All,All,All people,All,.0745,861,.3621,.3600,.7326,.0077,.0339,.0499,.1111,.0649,.2674
04000000000002122,"Kenai Peninsula, AK",2000,All,All,All,All people,All,.0601,1107,.2634,.2027,.8505,.0044,.0219,.0112,.0733,.0387,.1495
