fips,median_household_income
01001,"58,343"
01003,"56,607"
01005,"32,490"
01007,"45,795"
01009,"48,253"
01011,"29,113"
01013,"36,842"
01015,"45,937"
01017,"36,883"
01019,"44,842"
01021,"46,405"
01023,"36,711"
01025,"36,719"
01027,"39,642"
01029,"45,480"
01031,"51,998"
01033,"46,100"
01035,"30,796"
01037,"42,442"
01039,"39,093"
01041,"38,419"
01043,"45,925"
01045,"42,572"
01047,"31,329"
01049,"39,906"
01051,"59,652"
01053,"37,870"
01055,"41,791"
01057,"39,394"
01059,"41,025"
01061,"38,561"
01063,"28,108"
01065,"34,905"
01067,"48,094"
01069,"44,753"
01071,"42,658"
01073,"50,731"
01075,"39,796"
01077,"46,646"
01079,"42,912"
01081,"51,372"
01083,"57,342"
01085,"33,130"
01087,"30,849"
01089,"62,750"
01091,"37,469"
01093,"38,049"
01095,"42,751"
01097,"45,615"
01099,"36,432"
01101,"45,833"
01103,"49,274"
01105,"26,703"
01107,"38,379"
01109,"40,680"
01111,"41,112"
01113,"36,186"
01115,"52,755"
01117,"74,098"
01119,"26,495"
01121,"41,733"
01123,"44,469"
01125,"51,644"
01127,"41,925"
01129,"44,249"
01131,"25,700"
01133,"38,562"
02013,"69,375"
02016,"80,290"
02020,"78,579"
02050,"45,582"
02060,"70,094"
02068,"73,220"
02070,"52,641"
02090,"74,241"
02100,"53,413"
02105,"50,573"
02110,"90,436"
02122,"63,559"
02130,"71,298"
02150,"71,118"
02158,"31,250"
02164,"47,644"
02170,"72,296"
02180,"53,877"
02185,"82,736"
02188,"53,060"
02195,"59,176"
02198,"46,488"
02220,"69,501"
02230,"66,991"
02240,"59,382"
02261,"86,196"
02275,"55,696"
02282,"59,955"
02290,"37,907"
04001,"33,053"
04003,"48,966"
04005,"54,399"
04007,"38,897"
04009,"46,378"
04011,"63,557"
04012,"36,389"
04013,"62,221"
04015,"42,210"
04017,"40,883"
04019,"51,392"
04021,"53,114"
04023,"39,265"
04025,"49,860"
04027,"46,013"
05001,"43,752"
05003,"40,495"
05005,"43,011"
05007,"64,728"
05009,"41,770"
05011,"35,950"
05013,"42,484"
05015,"38,297"
05017,"31,810"
05019,"40,536"
05021,"35,164"
05023,"43,170"
05025,"47,812"
05027,"38,488"
05029,"43,519"
05031,"49,355"
05033,"44,850"
05035,"39,272"
05037,"41,661"
05039,"33,739"
05041,"33,228"
05043,"41,339"
05045,"51,535"
05047,"41,140"
05049,"35,723"
05051,"44,662"
05053,"54,819"
05055,"46,029"
05057,"39,505"
05059,"42,329"
05061,"36,744"
05063,"42,332"
05065,"37,958"
05067,"36,235"
05069,"38,677"
05071,"39,798"
05073,"33,378"
05075,"40,777"
05077,"28,875"
05079,"43,821"
05081,"42,063"
05083,"37,676"
05085,"54,378"
05087,"40,568"
05089,"39,539"
05091,"44,325"
05093,"39,678"
05095,"32,427"
05097,"35,500"
05099,"46,687"
05101,"34,036"
05103,"39,576"
05105,"44,118"
05107,"27,663"
05109,"37,493"
05111,"39,778"
05113,"35,678"
05115,"45,803"
05117,"43,139"
05119,"52,361"
05121,"35,989"
05123,"31,561"
05125,"61,384"
05127,"33,354"
05129,"30,640"
05131,"44,058"
05133,"41,649"
05135,"34,266"
05137,"32,778"
05139,"43,827"
05141,"36,244"
05143,"50,400"
05145,"44,088"
05147,"32,271"
05149,"40,325"
06001,"95,550"
06003,"55,755"
06005,"60,588"
06007,"48,634"
06009,"58,536"
06011,"53,595"
06013,"95,062"
06015,"39,996"
06017,"78,464"
06019,"51,452"
06021,"49,979"
06023,"46,123"
06025,"43,413"
06027,"53,528"
06029,"49,904"
06031,"55,076"
06033,"45,797"
06035,"58,776"
06037,"64,912"
06039,"50,783"
06041,"112,735"
06043,"52,387"
06045,"50,453"
06047,"48,036"
06049,"40,970"
06051,"60,318"
06053,"70,294"
06055,"83,881"
06057,"64,901"
06059,"86,031"
06061,"81,366"
06063,"51,756"
06065,"63,776"
06067,"62,959"
06069,"77,200"
06071,"60,270"
06073,"76,048"
06075,"109,601"
06077,"60,950"
06079,"70,634"
06081,"115,908"
06083,"70,651"
06085,"118,468"
06087,"76,633"
06089,"51,207"
06091,"49,495"
06093,"44,013"
06095,"75,931"
06097,"79,511"
06099,"58,925"
06101,"54,102"
06103,"41,819"
06105,"40,676"
06107,"46,377"
06109,"58,776"
06111,"82,436"
06113,"64,900"
06115,"53,822"
08001,"65,977"
08003,"43,121"
08005,"75,196"
08007,"52,481"
08009,"35,725"
08011,"37,307"
08013,"80,701"
08014,"91,968"
08015,"53,545"
08017,"50,571"
08019,"71,850"
08021,"36,852"
08023,"30,486"
08025,"38,112"
08027,"54,080"
08029,"43,528"
08031,"64,974"
08033,"44,882"
08035,"112,386"
08037,"88,913"
08039,"102,731"
08041,"65,260"
08043,"48,820"
08045,"71,897"
08047,"79,636"
08049,"61,241"
08051,"53,480"
08053,"59,157"
08055,"37,424"
08057,"48,785"
08059,"80,562"
08061,"43,845"
08063,"44,028"
08065,"49,799"
08067,"61,974"
08069,"69,443"
08071,"39,552"
08073,"45,308"
08075,"50,246"
08077,"52,623"
08079,"55,906"
08081,"57,680"
08083,"48,692"
08085,"51,031"
08087,"50,453"
08089,"37,907"
08091,"63,627"
08093,"69,884"
08095,"52,096"
08097,"78,596"
08099,"41,238"
08101,"44,060"
08103,"58,336"
08105,"41,693"
08107,"76,505"
08109,"36,558"
08111,"46,985"
08113,"70,418"
08115,"39,880"
08117,"75,420"
08119,"68,078"
08121,"48,325"
08123,"68,679"
08125,"48,893"
09001,"91,170"
09003,"70,433"
09005,"77,968"
09007,"81,533"
09009,"66,764"
09011,"71,721"
09013,"75,571"
09015,"62,606"
10001,"57,112"
10003,"66,839"
10005,"61,124"
11001,"80,153"
12001,"45,230"
12003,"51,856"
12005,"51,633"
12007,"44,997"
