fips,state,county,snap_auth_stores_17,snap_auth_stores_chg_12_17,snap_bens_per_cap_17,snap_bens_per_cap_chg_12_17,school_lunch_prog_17,school_lunch_prog_chg_12_17,school_bfast_prog_17,school_bfast_prog_chg_12_17,smr_food_prog_17,smr_food_prog_12_17,wic_parts_pop_17,wic_parts_pop_12_17,food_banks_18
1001,AL,Autauga,223185.6784,-25.95821999,16.3546772,-11.45987797,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1003,AL,Baldwin,157623.1336,-42.55601644,11.47935963,-27.76061821,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1005,AL,Barbour,257032.0789,-21.03385723,29.12214661,-6.408476353,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1007,AL,Bibb,227725.2451,-36.11192089,17.55779076,-21.73945999,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1009,AL,Blount,142860.8256,-37.81360228,12.3779726,-38.94146347,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1011,AL,Bullock,170993.9213,-19.18578422,31.25101089,-7.793587208,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1013,AL,Butler,302939.2254,-12.34520905,27.97814178,-14.35584068,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1015,AL,Calhoun,235151.7624,-25.4947015,22.04634666,-26.45145416,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1017,AL,Chambers,270507.9227,-17.51192388,23.49489403,-17.79821014,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1019,AL,Cherokee,174410.5291,-28.03506355,16.68471527,-39.15684509,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1021,AL,Chilton,179241.6009,-27.69938768,20.3894062,-27.63544846,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1023,AL,Choctaw,190980.3336,-4.072050614,27.88721466,-12.6944561,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1025,AL,Clarke,347058.4692,-14.2183135,26.93116951,-19.24823189,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1027,AL,Clay,116561.4878,-35.75744148,12.44981384,-36.94598007,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1029,AL,Cleburne,141533.0975,-10.40594271,17.98657799,-24.18905449,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1031,AL,Coffee,276972.3241,-9.548911762,17.03165436,5.360238552,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
1033,AL,Colbert,166642.4587,-36.66897919,15.69724751,-30.33549881,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0
