State,County,FIPS,2017
Alabama,Autauga,1001,30.9
Alabama,Baldwin,1003,26.7
Alabama,Barbour,1005,40.8
Alabama,Bibb,1007,40.1
Alabama,Blount,1009,32.4
Alabama,Bullock,1011,44.5
Alabama,Butler,1013,36
Alabama,Calhoun,1015,32
Alabama,Chambers,1017,39.8
Alabama,Cherokee,1019,32.7
Alabama,Chilton,1021,37.1
Alabama,Choctaw,1023,38.7
Alabama,Clarke,1025,36.1
Alabama,Clay,1027,37.7
Alabama,Cleburne,1029,30
Alabama,Coffee,1031,30.2
Alabama,Colbert,1033,36.6
Alabama,Conecuh,1035,37.2
Alabama,Coosa,1037,38.8
Alabama,Covington,1039,31.6
Alabama,Crenshaw,1041,36.6
Alabama,Cullman,1043,34.7
Alabama,Dale,1045,36.2
Alabama,Dallas,1047,42.4
Alabama,DeKalb,1049,30.6
Alabama,Elmore,1051,30.3
Alabama,Escambia,1053,39.4
Alabama,Etowah,1055,34.7
Alabama,Fayette,1057,32.4
Alabama,Franklin,1059,34.2
Alabama,Geneva,1061,34.7
Alabama,Greene,1063,45.9
Alabama,Hale,1065,35.9
Alabama,Henry,1067,35.2
Alabama,Houston,1069,33.6
Alabama,Jackson,1071,30.6
Alabama,Jefferson,1073,33.7
Alabama,Lamar,1075,32.5
Alabama,Lauderdale,1077,31.6
Alabama,Lawrence,1079,36.3
Alabama,Lee,1081,29.5
Alabama,Limestone,1083,33.5
Alabama,Lowndes,1085,46.4
Alabama,Macon,1087,42.4
Alabama,Madison,1089,31.2
Alabama,Marengo,1091,41.3
Alabama,Marion,1093,34.9
Alabama,Marshall,1095,35
Alabama,Mobile,1097,36.1
Alabama,Monroe,1099,37.2
Alabama,Montgomery,1101,33.6
Alabama,Morgan,1103,32.2
Alabama,Perry,1105,37.8
Alabama,Pickens,1107,37.4
Alabama,Pike,1109,34.1
Alabama,Randolph,1111,33.2
Alabama,Russell,1113,34.8
Alabama,Shelby,1117,33.1
Alabama,St. Clair,1115,31.3
Alabama,Sumter,1119,39.6
Alabama,Talladega,1121,37.6
Alabama,Tallapoosa,1123,36.5
Alabama,Tuscaloosa,1125,32.7
Alabama,Walker,1127,32.9
Alabama,Washington,1129,36
Alabama,Wilcox,1131,44.4
Alabama,Winston,1133,28.7
Arizona,Apache,4001,32.8
Arizona,Cochise,4003,24.7
Arizona,Coconino,4005,21.5
Arizona,Gila,4007,26.8
Arizona,Graham,4009,31.8
Arizona,Greenlee,4011,33.4
Arizona,La Paz,4012,31.5
Arizona,Maricopa,4013,22.2
Arizona,Mohave,4015,28.1
Arizona,Navajo,4017,30.9
