fips,pop_estimate,percent_white,percent_black,percent_native_american,percent_asian,percent_nhpi,percent_multi,percent_nonwhite_hispanic
1001,55036,76.60,19.10,0.30,0.90,0.10,0.40,0.01
1003,203360,86.50,9.50,0.80,0.70,0.00,0.40,0.01
1005,26201,46.60,48.00,0.20,0.60,0.00,0.30,0.03
1007,22580,76.70,22.10,0.40,0.00,0.00,0.50,0.00
1009,57667,95.50,1.60,0.40,0.10,0.00,0.40,0.01
1011,10478,21.90,75.60,1.00,0.70,0.00,1.40,0.00
1013,20126,52.40,44.90,0.10,1.10,0.00,0.50,0.00
1015,115527,74.60,20.50,0.40,1.00,0.00,0.40,0.02
1017,33895,57.70,39.30,0.30,1.00,0.00,0.40,0.01
1019,25855,93.10,5.00,0.50,0.20,0.00,0.30,0.00
1021,43805,83.30,9.60,0.60,0.40,0.00,0.90,0.05
1023,13188,56.50,42.30,0.00,0.10,0.00,0.70,0.00
1025,24625,53.20,45.70,0.10,0.50,0.10,0.30,0.00
1027,13407,83.20,14.80,0.90,0.00,0.00,0.80,0.00
1029,14939,94.60,2.80,0.30,0.50,0.00,0.60,0.00
1031,51073,76.30,17.30,1.10,1.30,0.00,0.70,0.01
1033,54435,79.60,16.00,0.70,0.50,0.00,0.50,0.02
1035,12649,51.30,46.50,0.20,0.00,0.00,1.30,0.01
1037,10955,65.40,33.20,0.10,0.00,0.00,1.50,0.00
1039,37519,84.60,13.20,0.30,0.40,0.00,0.30,0.00
1041,13866,71.50,23.60,0.80,1.40,0.00,0.90,0.02
1043,81703,95.50,1.20,0.40,0.60,0.00,0.30,0.01
1045,49393,73.30,19.40,0.50,1.00,0.00,0.60,0.02
1047,40755,28.20,70.40,0.00,0.40,0.10,0.30,0.01
1049,71194,86.30,1.50,1.40,0.30,0.90,0.50,0.09
1051,80989,75.20,21.40,0.30,0.60,0.00,0.30,0.01
1053,37621,61.40,32.20,3.60,0.40,0.10,0.50,0.01
1055,103132,80.90,15.60,0.70,0.70,0.10,0.30,0.01
1057,16657,85.50,12.10,0.00,0.50,0.00,1.00,0.01
1059,31507,85.90,4.80,0.90,0.40,0.10,0.60,0.08
1061,26572,86.60,9.20,0.70,0.40,0.00,0.60,0.01
1063,8533,17.10,80.30,0.60,0.00,0.00,0.70,0.01
1065,14995,39.50,58.70,0.20,0.20,0.00,0.40,0.01
1067,17110,71.00,27.80,0.00,0.00,0.00,0.50,0.00
1069,104108,69.40,26.70,0.40,0.90,0.00,0.20,0.01
1071,52326,91.00,3.20,1.10,0.50,0.10,0.40,0.01
1073,659460,52.10,42.60,0.20,1.50,0.00,0.20,0.02
1075,14021,87.50,10.80,0.30,0.00,0.00,0.50,0.00
1077,92590,86.90,10.10,0.40,0.70,0.00,0.30,0.00
1079,33288,78.00,11.40,5.20,0.10,0.00,1.30,0.01
1081,156597,69.90,23.10,0.10,3.80,0.00,0.30,0.01
1083,91695,81.60,13.10,0.80,1.30,0.10,0.50,0.01
1085,10362,24.70,74.50,0.10,0.00,0.00,0.50,0.00
1087,19358,15.80,82.20,0.30,0.20,0.00,0.40,0.01
