fips,state,fi_rate,total_fi_people,child_fi_rate,num_fi_children,cost_per_meal,est_annual_food_budget_shortfall,region
1001,AL,13.2,7270,19.8, 2670 ,3.19,3957000.0,S
1003,AL,11.6,23560,18.9, 8480 ,3.57,14361000.0,S
1005,AL,22.0,5760,27.6, 1520 ,3.09,3035000.0,S
1007,AL,14.3,3240,22.1, 1050 ,3.05,1684000.0,S
1009,AL,10.7,6140,21.2, 2880 ,3.1,3249000.0,S
1011,AL,24.8,2600,27.9, 600 ,3.23,1432000.0,S
1013,AL,20.6,4160,24.7, 1130 ,2.92,2075000.0,S
1015,AL,15.7,18100,22.6, 5750 ,2.95,9098000.0,S
1017,AL,17.9,6070,22.1, 1610 ,2.86,2961000.0,S
1019,AL,12.5,3230,20.6, 1070 ,3.25,1794000.0,S
1021,AL,13.1,5740,22.1, 2330 ,3.09,3031000.0,S
1023,AL,19.5,2570,24.6, 660 ,2.97,1303000.0,S
1025,AL,22.9,5640,25.7, 1420 ,2.95,2843000.0,S
1027,AL,14.5,1940,21.5, 620 ,3.09,1025000.0,S
1029,AL,13.5,2020,24.0, 830 ,2.97,1023000.0,S
1031,AL,14.2,7240,21.9, 2660 ,3.37,4165000.0,S
1033,AL,14.7,8000,22.2, 2600 ,2.77,3787000.0,S
1035,AL,20.9,2650,26.3, 730 ,2.93,1326000.0,S
1037,AL,15.7,1720,19.7, 380 ,3.33,977000.0,S
1039,AL,14.6,5480,22.6, 1860 ,2.93,2740000.0,S
1041,AL,15.8,2200,21.3, 670 ,3.2,1201000.0,S
1043,AL,11.8,9660,20.1, 3690 ,3.05,5024000.0,S
1045,AL,16.1,7940,22.5, 2610 ,3.1,4199000.0,S
1047,AL,27.2,11100,29.8, 3000 ,3.05,5771000.0,S
1049,AL,12.4,8840,22.8, 4000 ,3.11,4696000.0,S
1051,AL,13.3,10740,19.5, 3570 ,3.25,5948000.0,S
1053,AL,18.4,6930,24.1, 2020 ,2.99,3532000.0,S
1055,AL,14.6,15010,22.8, 5140 ,2.89,7409000.0,S
1057,AL,14.4,2400,22.2, 800 ,3.13,1282000.0,S
1059,AL,12.9,4060,25.6, 1990 ,2.74,1898000.0,S
1061,AL,14.8,3930,25.2, 1490 ,2.86,1916000.0,S
1063,AL,29.7,2540,34.4, 690 ,3.25,1409000.0,S
1065,AL,22.2,3330,25.2, 880 ,3.24,1844000.0,S
1067,AL,14.2,2430,19.6, 700 ,3.15,1308000.0,S
1069,AL,16.5,17160,22.7, 5560 ,3.17,9296000.0,S
1071,AL,13.6,7130,23.3, 2630 ,3.16,3846000.0,S
1073,AL,17.8,117600,20.8, 31610 ,3.11,62512000.0,S
1075,AL,15.2,2140,25.4, 780 ,3.12,1138000.0,S
