fips,median_household_income
1001,58343
1003,56607
1005,32490
1007,45795
1009,48253
1011,29113
1013,36842
1015,45937
1017,36883
1019,44842
1021,46405
1023,36711
1025,36719
1027,39642
1029,45480
1031,51998
1033,46100
1035,30796
1037,42442
1039,39093
1041,38419
1043,45925
1045,42572
1047,31329
1049,39906
1051,59652
1053,37870
1055,41791
1057,39394
1059,41025
1061,38561
1063,28108
1065,34905
1067,48094
1069,44753
1071,42658
1073,50731
1075,39796
1077,46646
1079,42912
1081,51372
1083,57342
1085,33130
1087,30849
1089,62750
1091,37469
1093,38049
1095,42751
1097,45615
1099,36432
1101,45833
1103,49274
1105,26703
1107,38379
1109,40680
1111,41112
1113,36186
1115,52755
1117,74098
1119,26495
1121,41733
1123,44469
1125,51644
1127,41925
1129,44249
1131,25700
1133,38562
2013,69375
2016,80290
2020,78579
2050,45582
2060,70094
2068,73220
2070,52641
2090,74241
2100,53413
2105,50573
2110,90436
2122,63559
2130,71298
2150,71118
2158,31250
2164,47644
2170,72296
2180,53877
2185,82736
2188,53060
2195,59176
2198,46488
2220,69501
2230,66991
2240,59382
2261,86196
2275,55696
2282,59955
2290,37907
4001,33053
4003,48966
4005,54399
4007,38897
4009,46378
4011,63557
4012,36389
4013,62221
4015,42210
4017,40883
4019,51392
4021,53114
4023,39265
4025,49860
4027,46013
5001,43752
5003,40495
5005,43011
5007,64728
5009,41770
5011,35950
5013,42484
5015,38297
5017,31810
5019,40536
5021,35164
5023,43170
5025,47812
5027,38488
5029,43519
5031,49355
5033,44850
5035,39272
5037,41661
5039,33739
5041,33228
5043,41339
5045,51535
5047,41140
5049,35723
5051,44662
5053,54819
5055,46029
5057,39505
5059,42329
5061,36744
5063,42332
5065,37958
5067,36235
5069,38677
5071,39798
5073,33378
5075,40777
5077,28875
5079,43821
5081,42063
5083,37676
5085,54378
5087,40568
5089,39539
5091,44325
5093,39678
5095,32427
5097,35500
5099,46687
5101,34036
5103,39576
5105,44118
5107,27663
5109,37493
5111,39778
5113,35678
5115,45803
5117,43139
5119,52361
5121,35989
5123,31561
5125,61384
5127,33354
5129,30640
5131,44058
5133,41649
5135,34266
5137,32778
5139,43827
5141,36244
5143,50400
5145,44088
5147,32271
5149,40325
6001,95550
6003,55755
6005,60588
6007,48634
6009,58536
6011,53595
6013,95062
6015,39996
6017,78464
6019,51452
6021,49979
6023,46123
6025,43413
6027,53528
6029,49904
6031,55076
6033,45797
6035,58776
6037,64912
6039,50783
6041,112735
6043,52387
6045,50453
6047,48036
6049,40970
6051,60318
6053,70294
6055,83881
6057,64901
6059,86031
6061,81366
6063,51756
6065,63776
6067,62959
6069,77200
6071,60270
6073,76048
6075,109601
6077,60950
6079,70634
6081,115908
6083,70651
6085,118468
6087,76633
6089,51207
6091,49495
6093,44013
6095,75931
6097,79511
6099,58925
6101,54102
6103,41819
6105,40676
6107,46377
6109,58776
6111,82436
6113,64900
6115,53822
8001,65977
8003,43121
8005,75196
8007,52481
8009,35725
8011,37307
8013,80701
8014,91968
8015,53545
8017,50571
8019,71850
8021,36852
8023,30486
8025,38112
8027,54080
