fips,popestimate17
1001,55390
1003,212521
1005,25157
1007,22550
1009,57787
1011,10176
1013,19888
1015,114710
1017,33707
1019,25805
1021,44120
1023,12925
1025,24063
1027,13350
1029,14899
1031,51853
1033,54695
1035,12431
1037,10724
1039,37062
1041,13858
1043,82867
1045,49342
1047,39238
1049,71437
1051,81422
1053,36993
1055,103007
1057,16466
1059,31542
1061,26385
1063,8310
1065,14801
1067,17115
1069,104378
1071,51828
1073,659599
1075,13882
1077,92564
1079,33063
1081,161440
1083,94130
1085,10097
1087,18793
1089,361762
1091,19396
1093,29792
1095,95572
1097,414045
1099,21290
1101,227265
1103,118918
1105,9302
1107,20204
1109,33349
1111,22687
1113,56985
1115,87926
1117,213633
1119,12749
1121,80142
1123,40613
1125,207618
1127,63895
1129,16522
1131,10691
1133,23760
2013,3455
2016,5729
2020,294338
2050,18090
2060,869
2068,2084
2070,4940
2090,99675
2100,2524
2105,2139
2110,32098
2122,58558
2130,13834
2150,13512
2158,8236
2164,1612
2170,106232
2180,10025
2185,9795
2188,7795
2195,3264
2198,6444
2220,8641
2230,1167
2240,6892
2261,9220
2275,2521
2282,602
2290,5409
4001,71545
4003,124864
4005,141001
4007,53578
4009,37481
4011,9443
4012,20706
4013,4327184
4015,207017
4017,109079
4019,1026391
4021,431564
4023,46566
4025,228082
4027,209507
5001,17872
5003,20311
5005,41308
5007,266585
5009,37459
5011,10813
5013,5201
5015,27865
5017,10647
5019,22184
5021,14865
5023,25059
5025,8162
5027,23695
5029,20810
5031,107188
5033,62894
5035,48716
5037,16792
5039,7307
5041,11743
5043,18370
5045,123530
5047,17809
5049,12131
5051,98327
5053,18103
5055,44993
5057,21876
5059,33606
5061,13365
5063,37391
5065,13666
5067,17017
5069,69238
5071,26401
5073,6797
5075,16571
5077,9127
5079,13475
5081,12373
5083,21739
5085,72778
5087,16299
5089,16429
5091,43736
5093,42112
5095,7013
5097,8890
5099,8309
5101,7815
5103,23817
5105,10346
5107,18599
5109,10735
5111,24071
5113,20147
5115,63634
5117,8248
5119,393280
5121,17665
5123,25997
5125,119520
5127,10369
5129,7927
5131,127786
5133,17103
5135,17147
5137,12520
5139,39460
5141,16552
5143,232732
5145,78844
5147,6575
5149,21509
6001,1660196
6003,1111
6005,38529
6007,228696
6009,45681
6011,21579
6013,1145535
6015,27351
6017,188679
6019,985238
6021,27926
6023,136507
6025,181649
6027,17868
6029,887356
6031,149665
6033,64111
6035,30920
6037,10103711
6039,155423
6041,259749
6043,17414
6045,87576
6047,271096
6049,8876
6051,14354
6053,434534
6055,139878
6057,99367
6059,3174289
6061,385115
6063,18660
6065,2414964
6067,1527301
6069,60164
6071,2150945
6073,3321237
6075,878040
6077,743296
6079,282481
6081,768901
6083,445298
6085,1932510
6087,274856
6089,179384
6091,3002
6093,43622
6095,443511
6097,502469
6099,544717
6101,96204
6103,63847
6105,12726
6107,462308
6109,53976
6111,849044
6113,218477
6115,76578
8001,503590
8003,16108
8005,644478
8007,13295
8009,3554
8011,5827
8013,322441
8014,68263
8015,19666
8017,1853
8019,9574
8021,8139
8023,3756
8025,5840
8027,4857
8029,30519
8031,704961
8033,2045
8035,335816
8037,54929
8039,25765
8041,700099
8043,47548
8045,59032
8047,6018
8049,15364
8051,16863
8053,791
8055,6628
8057,1375
8059,575417
8061,1365
8063,7137
8065,7750
8067,55563
8069,344084
8071,14201
8073,5523
8075,22317
8077,151170
8079,753
8081,13088
8083,26112
8085,41753
8087,28295
8089,18345
8091,4813
8093,17894
8095,4288
8097,17973
8099,11998
8101,166283
8103,6352
8105,11297
8107,25171
8109,6633
8111,712
8113,8034
8115,2311
8117,30820
8119,24674
8121,4921
8123,305885
8125,9959
9001,943038
9003,893076
9005,181667
9007,162942
9009,857748
9011,267419
9013,151009
9015,116398
10001,176499
10003,555976
10005,224348
11001,694906
12001,266309
12003,28254
12005,184736
12007,27142
12009,587769
12011,1934516
12013,14428
12015,181522
12017,145415
12019,212228
12021,372678
12023,69999
12027,37241
12029,16615
12031,937933
12033,313249
12035,109999
12037,11724
12039,45993
12041,17900
12043,13580
12045,16105
12047,14364
12049,27154
12051,41018
12053,186704
12055,103852
12057,1426736
12059,19427
12061,154241
12063,48289
12065,14165
12067,8602
12069,345432
12071,740000
12073,290965
12075,40276
12077,8236
12079,18474
12081,385506
12083,353339
12085,159701
12086,2713295
12087,76483
12089,82925
12091,203478
12093,41275
12095,1355921
12097,353623
12099,1470344
12101,525141
12103,968341
12105,685368
12107,73384
12109,243693
12111,313163
12113,174049
12115,419680
12117,462801
12119,124995
12121,44124
12123,21781
12125,15448
12127,537868
12129,32050
12131,68021
12133,24546
13001,18438
13003,8182
13005,11205
13007,3159
13009,44963
13011,18628
13013,78899
13015,105098
13017,17037
13019,19108
13021,152840
13023,12764
13025,18832
13027,15617
13029,36999
13031,75991
13033,22545
13035,24067
13037,6389
13039,53005
13043,10706
13045,117390
13047,66495
13049,12810
13051,289309
13053,10205
13055,24746
13057,247763
13059,126815
13061,2955
13063,284184
13065,6643
13067,752649
13069,42880
13071,45480
13073,151529
13075,17213
13077,143153
13079,12263
13081,22710
13083,16254
13085,24406
13087,26706
13089,751176
13091,20749
13093,13691
13095,89457
13097,143376
13099,10317
13101,3914
13103,60086
13105,19102
13107,22533
13109,10741
13111,25332
13113,112553
13115,97500
13117,228940
13119,22864
13121,1038938
13123,30443
13125,3032
13127,84675
13129,57164
13131,24773
13133,17203
13135,918186
13137,44535
13139,198953
13141,8539
13143,29248
13145,33943
13147,25710
13149,11751
13151,225182
13153,153202
13155,9352
13157,67644
13159,13882
13161,15039
13163,15630
13165,8813
13167,9737
13169,28466
13171,18600
13173,10425
13175,47376
13177,29410
13179,61619
13181,7856
13183,18780
13185,115404
13187,32801
13189,21511
13191,14080
13193,13254
13195,29295
13197,8403
13199,21021
13201,5813
13205,22317
13207,27163
13209,9024
13211,18373
13213,39803
13215,193836
13217,107846
13219,38122
13221,14874
13223,159509
13225,26961
13227,31541
13229,19197
13231,18204
13233,41818
13235,11181
13237,21692
13239,2333
13241,16545
13243,6969
13245,201673
13247,89843
13249,5235
13251,13956
13253,8253
13255,65358
13257,25736
13259,6314
13261,29901
13263,6256
13265,1613
13267,25409
13269,8110
13271,15929
13273,8695
13275,44619
13277,40431
13279,26859
13281,11553
13283,6746
13285,70062
13287,7895
13289,8253
13291,23376
13293,26201
13295,68999
13297,91296
13299,35668
13301,5265
13303,20311
13305,29797
13307,2589
13309,7960
13311,29445
13313,104234
13315,8791
13317,9860
13319,8954
13321,20528
15001,199981
15003,986353
15005,86
15007,71827
15009,166146
16001,456548
16003,4127
16005,85482
16007,6023
16009,9157
16011,45884
16013,22373
16015,7347
16017,43654
16019,114488
16021,11965
16023,2585
16025,1096
16027,216858
16029,6973
16031,23650
16033,879
16035,8646
16037,4135
16039,26881
16041,13467
16043,13122
16045,17311
16047,15121
16049,16373
16051,28439
16053,23768
16055,157320
16057,39741
16059,7829
16061,3884
16063,5376
16065,39370
16067,20722
16069,40289
16071,4389
16073,11618
16075,23163
16077,7606
16079,12519
16081,11445
16083,85374
16085,10667
16087,10051
17001,66057
17003,6278
17005,16648
17007,53513
17009,6609
17011,33137
17013,4851
17015,14475
17017,12492
17019,210425
17021,33007
17023,15812
17025,13270
17027,37645
17029,51353
17031,5200821
17033,18975
17035,10880
17037,104309
17039,15906
17041,19629
17043,930265
17045,17390
17047,6448
17049,34123
17051,21514
17053,13298
17055,38995
17057,35104
17059,5071
17061,13156
17063,50622
17065,8181
17067,17958
17069,3922
17071,6819
17073,49219
17075,27777
17077,57904
17079,9523
17081,38045
17083,21912
17085,21495
17087,12399
17089,532272
17091,110540
17093,126152
17095,50577
17097,702475
17099,109622
17101,16027
17103,34540
17105,36124
17107,29034
17109,30373
17111,307815
17113,172754
17115,105399
17117,45505
17119,265251
17121,37726
17123,11668
17125,13677
17127,14291
17129,12293
17131,15608
17133,34179
17135,28781
17137,34245
17139,14701
17141,50993
17143,182525
17145,21281
17147,16422
17149,15668
17151,4183
17153,5520
17155,5694
17157,32297
17159,15837
17161,143828
17163,262600
17165,23963
17167,197072
17169,6948
17171,4983
17173,21774
17175,5457
17177,44997
17179,133489
17181,16968
17183,77689
17185,11523
17187,17144
17189,13963
17191,16412
17193,13903
17195,55955
17197,690479
17199,67049
17201,284681
17203,38670
18001,35385
18003,371723
18005,82213
18007,8631
18009,12028
18011,65723
18013,15010
18015,20067
18017,37828
18019,116545
18021,26167
18023,32195
18025,10535
18027,33136
18029,49564
18031,26620
18033,42806
18035,115246
18037,42538
18039,204194
18041,23154
18043,77006
18045,16419
18047,22694
18049,19995
18051,33721
18053,66305
18055,32172
18057,322933
18059,74998
18061,39777
18063,163622
18065,48170
18067,82210
18069,36222
18071,43955
18073,33424
18075,20883
18077,32013
18079,27652
18081,153820
18083,37044
18085,79026
18087,39248
18089,484601
18091,109842
18093,45592
18095,129418
18097,950537
18099,46433
18101,10181
18103,35864
18105,146638
18107,38343
18109,69793
18111,14027
18113,47329
18115,5854
18117,19423
18119,20791
18121,16907
18123,18978
18125,12315
18127,168495
18129,25569
18131,12529
18133,37363
18135,24907
18137,28428
18139,16643
18141,270057
18143,23793
18145,44367
18147,20440
18149,22935
18151,34384
18153,20700
18155,10686
18157,191199
18159,15137
18161,7159
18163,180954
18165,15503
18167,107569
18169,31380
18171,8204
18173,62401
18175,27771
18177,66179
18179,27958
18181,24163
18183,33722
19001,7051
19003,3657
19005,13803
19007,12353
19009,5550
19011,25656
19013,132238
19015,26443
19017,24823
19019,21126
19021,20144
19023,14592
19025,9729
19027,20274
19029,13144
19031,18490
19033,42999
19035,11307
19037,12002
19039,9396
19041,16141
19043,17648
19045,46874
19047,17076
19049,87208
19051,8969
19053,7947
19055,17143
19057,39326
19059,17141
19061,97066
19063,9422
19065,19687
19067,15767
19069,10160
19071,6930
19073,8954
19075,12298
19077,10645
19079,15032
19081,10756
19083,17073
19085,14107
19087,20044
19089,9229
19091,9569
19093,6869
19095,16133
19097,19382
19099,36995
19101,18219
19103,149325
19105,20618
19107,10141
19109,14939
19111,34216
19113,224379
19115,11195
19117,8533
19119,11785
19121,16000
