,fips,state,county,fast_food_16,fast_food_1000_16,full_service_16,full_service_1000_16,fast_food_exp_percap_12,full_service_exp_percap_12
0,1001,AL,Autauga,44,0.7959767,31,0.560801766,674.8027204,512.2809873
1,1003,AL,Baldwin,156,0.751774622,236,1.137300069,674.8027204,512.2809873
2,1005,AL,Barbour,23,0.892372158,14,0.543183053,674.8027204,512.2809873
3,1007,AL,Bibb,7,0.309282905,7,0.309282905,674.8027204,512.2809873
4,1009,AL,Blount,23,0.39956916,12,0.208470866,674.8027204,512.2809873
5,1011,AL,Bullock,3,0.2873288,1,0.095776267,674.8027204,512.2809873
6,1013,AL,Butler,18,0.901577761,9,0.450788881,674.8027204,512.2809873
7,1015,AL,Calhoun,95,0.826230649,75,0.652287354,674.8027204,512.2809873
8,1017,AL,Chambers,29,0.860100246,18,0.533855325,674.8027204,512.2809873
9,1019,AL,Cherokee,15,0.58216254,12,0.465730032,674.8027204,512.2809873
10,1021,AL,Chilton,22,0.501939311,23,0.524754734,674.8027204,512.2809873
11,1023,AL,Choctaw,6,0.459770115,7,0.536398467,674.8027204,512.2809873
12,1025,AL,Clarke,25,1.026694045,13,0.533880903,674.8027204,512.2809873
13,1027,AL,Clay,4,0.298284862,8,0.596569724,674.8027204,512.2809873
14,1029,AL,Cleburne,5,0.336179654,2,0.134471862,674.8027204,512.2809873
15,1031,AL,Coffee,40,0.780990687,31,0.605267782,674.8027204,512.2809873
16,1033,AL,Colbert,53,0.97557384,36,0.662653929,674.8027204,512.2809873
17,1035,AL,Conecuh,7,0.559328805,3,0.239712345,674.8027204,512.2809873
18,1037,AL,Coosa,1,0.092515496,1,0.092515496,674.8027204,512.2809873
19,1039,AL,Covington,27,0.722195474,19,0.50821163,674.8027204,512.2809873
20,1041,AL,Crenshaw,8,0.575249874,6,0.431437406,674.8027204,512.2809873
21,1043,AL,Cullman,63,0.765287529,43,0.522339107,674.8027204,512.2809873
22,1045,AL,Dale,35,0.710977492,27,0.548468351,674.8027204,512.2809873
23,1047,AL,Dallas,25,0.623736933,12,0.299393728,674.8027204,512.2809873
24,1049,AL,DeKalb,40,0.561671534,32,0.449337228,674.8027204,512.2809873
25,1051,AL,Elmore,39,0.480059084,40,0.492368291,674.8027204,512.2809873
26,1053,AL,Escambia,28,0.747144839,19,0.506991141,674.8027204,512.2809873
27,1055,AL,Etowah,85,0.82744388,58,0.564608765,674.8027204,512.2809873
