fips,retail_soda_sales_14_tax_rate,vending_soda_sales_14_tax_rate,retail_chips_pretzels_14_tax_rate,vending_chips_pretzels_14_tax_rate,general_food_tax_rate
1001,4.0,4.0,4.0,4.0,4.0
1003,4.0,4.0,4.0,4.0,4.0
1005,4.0,4.0,4.0,4.0,4.0
1007,4.0,4.0,4.0,4.0,4.0
1009,4.0,4.0,4.0,4.0,4.0
1011,4.0,4.0,4.0,4.0,4.0
1013,4.0,4.0,4.0,4.0,4.0
1015,4.0,4.0,4.0,4.0,4.0
1017,4.0,4.0,4.0,4.0,4.0
1019,4.0,4.0,4.0,4.0,4.0
1021,4.0,4.0,4.0,4.0,4.0
1023,4.0,4.0,4.0,4.0,4.0
1025,4.0,4.0,4.0,4.0,4.0
1027,4.0,4.0,4.0,4.0,4.0
1029,4.0,4.0,4.0,4.0,4.0
1031,4.0,4.0,4.0,4.0,4.0
1033,4.0,4.0,4.0,4.0,4.0
1035,4.0,4.0,4.0,4.0,4.0
1037,4.0,4.0,4.0,4.0,4.0
1039,4.0,4.0,4.0,4.0,4.0
1041,4.0,4.0,4.0,4.0,4.0
1043,4.0,4.0,4.0,4.0,4.0
1045,4.0,4.0,4.0,4.0,4.0
1047,4.0,4.0,4.0,4.0,4.0
1049,4.0,4.0,4.0,4.0,4.0
1051,4.0,4.0,4.0,4.0,4.0
1053,4.0,4.0,4.0,4.0,4.0
1055,4.0,4.0,4.0,4.0,4.0
1057,4.0,4.0,4.0,4.0,4.0
1059,4.0,4.0,4.0,4.0,4.0
1061,4.0,4.0,4.0,4.0,4.0
1063,4.0,4.0,4.0,4.0,4.0
1065,4.0,4.0,4.0,4.0,4.0
1067,4.0,4.0,4.0,4.0,4.0
1069,4.0,4.0,4.0,4.0,4.0
1071,4.0,4.0,4.0,4.0,4.0
1073,4.0,4.0,4.0,4.0,4.0
1075,4.0,4.0,4.0,4.0,4.0
1077,4.0,4.0,4.0,4.0,4.0
1079,4.0,4.0,4.0,4.0,4.0
1081,4.0,4.0,4.0,4.0,4.0
1083,4.0,4.0,4.0,4.0,4.0
1085,4.0,4.0,4.0,4.0,4.0
1087,4.0,4.0,4.0,4.0,4.0
1089,4.0,4.0,4.0,4.0,4.0
1091,4.0,4.0,4.0,4.0,4.0
1093,4.0,4.0,4.0,4.0,4.0
1095,4.0,4.0,4.0,4.0,4.0
1097,4.0,4.0,4.0,4.0,4.0
1099,4.0,4.0,4.0,4.0,4.0
1101,4.0,4.0,4.0,4.0,4.0
1103,4.0,4.0,4.0,4.0,4.0
1105,4.0,4.0,4.0,4.0,4.0
1107,4.0,4.0,4.0,4.0,4.0
1109,4.0,4.0,4.0,4.0,4.0
1111,4.0,4.0,4.0,4.0,4.0
1113,4.0,4.0,4.0,4.0,4.0
1115,4.0,4.0,4.0,4.0,4.0
1117,4.0,4.0,4.0,4.0,4.0
1119,4.0,4.0,4.0,4.0,4.0
1121,4.0,4.0,4.0,4.0,4.0
1123,4.0,4.0,4.0,4.0,4.0
1125,4.0,4.0,4.0,4.0,4.0
1127,4.0,4.0,4.0,4.0,4.0
1129,4.0,4.0,4.0,4.0,4.0
1131,4.0,4.0,4.0,4.0,4.0
1133,4.0,4.0,4.0,4.0,4.0
2013,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0
2060,0.0,0.0,0.0,0.0,0.0
