,fips,state,county,pop_low_access_15,percent_pop_low_access_15,low_income_low_access_15,percent_low_income_low_access_15,no_car_low_access_15,percent_no_car_low_access_15,snap_low_access_15,percent_snap_low_access_15,child_low_access_15,percent_child_low_access_15,senior_low_access_15,percent_senior_low_access_15,white_low_access_15,percent_white_low_access_15,black_low_access_15,percent_black_low_access_15,hispanic_low_access_15,percent_hispanic_low_access_15,asian_low_access_15,percent_asian_low_access_15,nhna_low_access_15,percent_nhna_low_access_15,nhpi_low_access_15,percent_nhpi_low_access_15,multiracial_low_access_15,percent_multiracial_low_access_15
0,1001,AL,Autauga,17496.69304,0.32,6543.676824,0.12,677.6727692,0.03,931.9351864,0.05,4616.97148,0.08,2180.809285,0.04,12640.61541,0.23,4216.473194,0.08,471.1361644,0.01,86.76797517,0.0,61.16986917,0.0,8.817960727,0.0,482.8486329,0.01
1,1003,AL,Baldwin,30561.26443,0.17,9886.831137,0.05,1394.162766,0.02,950.5352897,0.01,7007.972675,0.04,5580.66279,0.03,25483.18681,0.14,3540.965826,0.02,1377.874834,0.01,212.9463784,0.0,181.6496483,0.0,14.81963381,0.0,1127.696098,0.01
2,1005,AL,Barbour,6069.523628,0.22,2948.790251,0.11,425.1449274,0.04,422.5690403,0.04,1031.927776,0.04,824.1752624,0.03,2828.876711,0.1,2713.12493,0.1,509.3775251,0.02,17.09641004,0.0,39.96052669,0.0,8.082375985,0.0,462.382655,0.02
3,1007,AL,Bibb,969.378841,0.04,596.1628288,0.03,224.3881246,0.03,53.81877202,0.01,232.6426702,0.01,137.6882309,0.01,540.5122387,0.02,419.0999425,0.02,8.596762482,0.0,1.994317987,0.0,2.513097181,0.0,0.0,0.0,5.259244042,0.0
4,1009,AL,Blount,3724.428242,0.06,1650.959482,0.03,719.931444,0.03,175.3703384,0.01,910.686113,0.02,505.9142824,0.01,3387.241266,0.06,95.84268727,0.0,497.4898913,0.01,8.428994396,0.0,28.93824223,0.0,1.062851177,0.0,202.9141865,0.0
5,1011,AL,Bullock,4141.900365,0.38,2154.7893,0.2,415.8613008,0.11,225.322525,0.06,616.7153899,0.06,566.5393544,0.05,1462.196457,0.13,2634.506685,0.24,24.07888941,0.0,0.968748205,0.0,7.70528758,0.0,0.0,0.0,36.52317132,0.0
6,1013,AL,Butler,1304.328756,0.06,612.9347608,0.03,320.168301,0.04,91.43779529,0.01,264.1401156,0.01,254.7681402,0.01,729.7324117,0.03,550.9011026,0.03,11.08490189,0.0,4.955498356,0.0,7.298759186,0.0,0.0,0.0,11.44098716,0.0
7,1015,AL,Calhoun,27785.98677,0.23,10883.20997,0.09,1235.289629,0.03,1931.256358,0.04,6167.764487,0.05,4455.312468,0.04,21058.35896,0.18,5465.72518,0.05,970.8931906,0.01,235.0712025,0.0,118.2965151,0.0,21.96150679,0.0,886.5734644,0.01
8,1017,AL,Chambers,7131.505717,0.21,3533.916216,0.1,730.2010667,0.05,502.6320283,0.04,1595.35385,0.05,1266.433475,0.04,4281.110416,0.13,2616.963013,0.08,126.7866311,0.0,108.4934056,0.0,20.68814574,0.0,0.061101226,0.0,104.1896201,0.0
9,1019,AL,Cherokee,103.5224989,0.0,57.46490172,0.0,299.8869228,0.03,4.888563305,0.0,18.74760093,0.0,13.77900349,0.0,100.8908362,0.0,1.410913298,0.0,0.348952026,0.0,0.0,0.0,0.217044921,0.0,0.0,0.0,1.003704677,0.0
10,1021,AL,Chilton,1469.89911,0.03,637.4195275,0.01,641.1107684,0.04,115.4552044,0.01,337.0499231,0.01,246.4547517,0.01,1125.956187,0.03,245.0090637,0.01,80.89555631,0.0,2.446085968,0.0,9.4605826,0.0,27.70912378,0.0,59.31806504,0.0
11,1023,AL,Choctaw,2702.895199,0.2,1010.379176,0.07,423.0366236,0.07,360.0712887,0.06,557.5538692,0.04,452.8804652,0.03,743.8167363,0.05,1945.209927,0.14,11.32193666,0.0,0.0,0.0,5.000000157,0.0,0.0,0.0,8.86854066,0.0
