,fips,state,county,grocery_16,grocery_per1kpop_16,super_16,super_per1kpop_16,convenience_16,convenience_per1kpop_16,specialty_16,specialty_per1kpop_16,snap_available_17,snap_available_per1kpop_17,wic_available_16,wic_available_per1kpop_16
0,1001,AL,Autauga,3,0.0542711,1,0.0180904,31,0.560801766,1,0.0180904,44.66666667,0.804746805,5.0,0.090510845
1,1003,AL,Baldwin,29,0.139752975,7,0.0337335,118,0.568650034,27,0.130114838,189.4166667,0.890835951,28.0,0.134802029
2,1005,AL,Barbour,4,0.155195158,1,0.0387988,19,0.737177,2,0.077597579,36.0,1.424614167,6.0,0.232387006
3,1007,AL,Bibb,5,0.220916361,1,0.0441833,15,0.662749083,0,0.0,18.16666667,0.801423446,5.0,0.221474126
4,1009,AL,Blount,5,0.086862861,1,0.0173726,27,0.469059449,0,0.0,40.16666667,0.692373548,8.0,0.139089316
5,1011,AL,Bullock,3,0.2873288,0,0.0,6,0.5746576,0,0.0,10.16666667,0.986193294,3.0,0.288989514
6,1013,AL,Butler,3,0.15026296,1,0.0500877,22,1.101928375,0,0.0,24.91666667,1.256830601,4.0,0.199710414
7,1015,AL,Calhoun,27,0.234823448,4,0.0347887,84,0.730561837,1,0.0086972,136.0,1.185412454,20.0,0.173885822
8,1017,AL,Chambers,7,0.207610404,1,0.0296586,22,0.652489842,1,0.0296586,35.66666667,1.05794995,6.0,0.17766723
9,1019,AL,Cherokee,5,0.19405418,1,0.0388108,18,0.698595048,0,0.0,27.41666667,1.060318934,4.0,0.155183122
10,1021,AL,Chilton,5,0.114077116,1,0.0228154,33,0.752908966,3,0.06844627,42.5,0.964440511,6.0,0.136686713
11,1023,AL,Choctaw,3,0.229885057,0,0.0,15,1.149425287,0,0.0,14.41666667,1.113686108,3.0,0.22990267
12,1025,AL,Clarke,6,0.246406571,2,0.082135524,13,0.533880903,1,0.0410678,36.16666667,1.501750889,8.0,0.328555584
13,1027,AL,Clay,3,0.223713647,0,0.0,6,0.447427293,0,0.0,11.16666667,0.835390639,3.0,0.223997608
14,1029,AL,Cleburne,2,0.134471862,0,0.0,12,0.806831171,0,0.0,12.16666667,0.81655481,4.0,0.269305855
15,1031,AL,Coffee,7,0.13667337,1,0.0195248,29,0.566218248,0,0.0,42.66666667,0.822505815,7.0,0.13686578
16,1033,AL,Colbert,8,0.147256429,1,0.0184071,45,0.828317411,4,0.073628214,63.0,1.155963303,9.0,0.165541604
17,1035,AL,Conecuh,1,0.079904115,0,0.0,15,1.198561726,0,0.0,15.83333333,1.26981581,2.0,0.159987196
18,1037,AL,Coosa,1,0.092515496,0,0.0,8,0.740123971,0,0.0,7.0,0.650920588,1.0,0.09237022
19,1039,AL,Covington,6,0.160487883,1,0.026748,34,0.909431338,3,0.080243942,54.08333333,1.4580862,7.0,0.187255904
20,1041,AL,Crenshaw,4,0.287624937,0,0.0,7,0.50334364,1,0.071906234,19.83333333,1.429841636,3.0,0.215486288
21,1043,AL,Cullman,15,0.182211317,2,0.0242948,53,0.643813318,4,0.0485897,74.08333333,0.895212777,12.0,0.145532161
22,1045,AL,Dale,6,0.121881856,1,0.0203136,29,0.589095637,1,0.0203136,51.33333333,1.042809355,6.0,0.121701382
23,1047,AL,Dallas,8,0.199595818,1,0.0249495,36,0.898181183,0,0.0,43.66666667,1.113519487,8.0,0.199541062
24,1049,AL,DeKalb,16,0.224668614,1,0.0140418,50,0.702089418,3,0.0421254,81.91666667,1.143815947,11.0,0.154709503
25,1051,AL,Elmore,8,0.098473658,2,0.0246184,55,0.677006401,0,0.0,66.83333333,0.818263812,9.0,0.11075151
