fips,state,county,region,obesity_rates,prop_white,prop_black,prop_hisp,prop_asian,prop_nhna,prop_nhpi,prop_older,prop_younger,median_income,poverty_rates,child_poverty,grocery,grocery_conc,supercenters,supercenter_conc,convenience_stores,convenience_conc,speciality_stores,speciality_conc,food_stamp_stores,food_stamp_stores_conc,number_fast_foods,fast_food_conc,full_service_count,full_service_conc,fast_food_percapita,full_service_percapita,total_population,food_banks_18_x,farmers_markets,farmer_mkt_conc,pct_fm_credit,pct_fm_sell_frveg,school_feeding,food_stamp_fm,pct_fm_accepting_food_stamps,est_annual_food_budget_shortfall,percent_low_access,percent_low_income_low_access,percent_nocar_low_access,percent_snap_low_access,percent_child_low_access,percent_senior_low_access,percent_white_low_access,percent_black_low_access,percent_hispanic_low_access,percent_asian_low_access,percent_nhna_low_access,percent_nhpi_low_access_15,percent_multiracial_low_access,fi_rate,total_fi_people,child_fi_rate,num_fi_children,cost_per_meal,snap_auth_stores_17_x,smr_food_prog_17_x
1001,AL,Autauga,S,30.9,77.24615,17.5826,2.400542,0.8557659,0.3976471,0.0403145,11.99538,26.77796,56580,12.7,18.8,3,0.054271,1,0.01809,31,0.560802,1,0.01809,24.83333,0.4476288,44,0.795977,31,0.560802,674.803,512.281,55390,0,1,0.01798529,0,100,48.30097,0,0,3957000,0.32,0.12,0.03,0.05,0.08,0.04,0.23,0.08,0.01,0,0,0,0.01,13.2,7270,19.8,2670,3.19,223185.68,6.36901
1003,AL,Baldwin,S,26.7,83.50478,9.308425,4.384824,0.7351933,0.6287549,0.0433435,16.77118,22.98741,52387,12.9,19.6,29,0.139753,7,0.033733,118,0.56865,27,0.130115,108.7083,0.512819,156,0.751775,236,1.1373,674.803,512.281,212521,0,4,0.01834677,50,75,48.30097,0,0,14361000,0.17,0.05,0.02,0.01,0.04,0.03,0.14,0.02,0.01,0,0,0,0.01,11.6,23560,18.9,8480,3.57,157623.13,6.36901
1005,AL,Barbour,S,40.8,46.75311,46.69119,5.051535,0.3897003,0.2185235,0.0874094,14.23681,21.90698,31433,32,45.2,4,0.155195,1,0.038799,19,0.737177,2,0.077598,21,0.8285006,23,0.892372,14,0.543183,674.803,512.281,25157,0,4,0.16076525,50,50,48.30097,20,500,3035000,0.22,0.11,0.04,0.04,0.04,0.03,0.1,0.1,0.02,0,0,0,0.02,22,5760,27.6,1520,3.09,257032.08,6.36901
1007,AL,Bibb,S,40.1,75.02073,21.9245,1.771765,0.096007,0.279293,0.0305477,12.68165,22.69692,40767,22.2,29.3,5,0.220916,1,0.044183,15,0.662749,0,0,11.58333,0.5114488,7,0.309283,7,0.309283,674.803,512.281,22550,0,1,0.04464286,0,0,48.30097,0,0,1684000,0.04,0.03,0.03,0.01,0.01,0.01,0.02,0.02,0,0,0,0,0,14.3,3240,22.1,1050,3.05,227725.25,6.36901
1009,AL,Blount,S,32.4,88.88734,1.26304,8.0702,0.2006211,0.4971913,0.0314016,14.7221,24.60835,50487,14.7,22.2,5,0.086863,1,0.017373,27,0.469059,0,0,24.08333,0.4157314,23,0.399569,12,0.208471,674.803,512.281,57787,0,1,0.01728907,0,100,48.30097,1,100,3249000,0.06,0.03,0.03,0.01,0.02,0.01,0.06,0,0.01,0,0,0,0,10.7,6140,21.2,2880,3.1,142860.83,6.36901
1011,AL,Bullock,S,44.5,21.9168,69.97434,7.119297,0.1832509,0.1832509,0.0366502,13.45978,22.26498,28251,39.6,51.2,3,0.287329,0,0,6,0.574658,0,0,6.583333,0.6375914,3,0.287329,1,0.095776,674.803,512.281,10176,0,1,0.09863879,0,0,48.30097,0,0,1432000,0.38,0.2,0.11,0.06,0.06,0.05,0.13,0.24,0,0,0,0,0,24.8,2600,27.9,600,3.23,170993.92,6.36901
1013,AL,Butler,S,36,54.06025,43.18996,0.9118251,0.8306679,0.2816632,0.0334177,16.65632,24.13711,33868,25.8,36,3,0.150263,1,0.050088,22,1.10193,0,0,14.45833,0.7282705,18,0.901578,9,0.450789,674.803,512.281,19888,0,2,0.10162602,0,50,48.30097,0,0,2075000,0.06,0.03,0.04,0.01,0.01,0.01,0.03,0.03,0,0,0,0,0,20.6,4160,24.7,1130,2.92,302939.23,6.36901
1015,AL,Calhoun,S,32,73.6135,20.39014,3.283237,0.6999967,0.4048173,0.0792767,14.32885,22.87724,42091,20,30.7,27,0.234823,4,0.034789,84,0.730562,1,0.008697,78,0.6796491,95,0.826231,75,0.652287,674.803,512.281,114710,0,2,0.01750133,50,100,48.30097,10,500,9098000,0.23,0.09,0.03,0.04,0.05,0.04,0.18,0.05,0.01,0,0,0,0.01,15.7,18100,22.6,5750,2.95,235151.76,6.36901
1017,AL,Chambers,S,39.8,58.14117,38.59711,1.566564,0.4851673,0.1665936,0.0204589,16.6769,22.51352,35560,22.4,34.4,7,0.20761,1,0.029659,22,0.65249,1,0.029659,20.83333,0.6178086,29,0.8601,18,0.533855,674.803,512.281,33707,0,1,0.02974862,0,100,48.30097,0,0,2961000,0.21,0.1,0.05,0.04,0.05,0.04,0.13,0.08,0,0,0,0,0,17.9,6070,22.1,1610,2.86,270507.92,6.36901
1019,AL,Cherokee,S,32.7,92.07357,4.640425,1.23129,0.1885413,0.4694294,0.0038478,17.89603,21.41675,39144,19.4,30.2,5,0.194054,1,0.038811,18,0.698595,0,0,15.70833,0.607751,15,0.582163,12,0.46573,674.803,512.281,25805,0,1,0.03841426,100,100,48.30097,0,0,1794000,0,0,0.03,0,0,0,0,0,0,0,0,0,0,12.5,3230,20.6,1070,3.25,174410.53,6.36901
1021,AL,Chilton,S,37.1,81.1012,9.557088,7.836308,0.2864148,0.3070366,0.0252045,13.5669,25.11285,42767,20.2,28.1,5,0.114077,1,0.022815,33,0.752909,3,0.068446,24.25,0.5505636,22,0.501939,23,0.524755,674.803,512.281,44120,0,0,0,0,0,48.30097,0,0,3031000,0.03,0.01,0.04,0.01,0.01,0.01,0.03,0.01,0,0,0,0,0,13.1,5740,22.1,2330,3.09,179241.6,6.36901
1023,AL,Choctaw,S,38.7,55.55956,43.22101,0.5267335,0.0865863,0.1298795,0,18.17591,22.66397,35089,24.4,33.5,3,0.229885,0,0,15,1.14943,0,0,8.708333,0.6717944,6,0.45977,7,0.536398,674.803,512.281,12925,0,1,0.07787555,0,0,48.30097,0,0,1303000,0.2,0.07,0.07,0.06,0.04,0.03,0.05,0.14,0,0,0,0,0,19.5,2570,24.6,660,2.97,190980.33,6.36901
1025,AL,Clarke,S,36.1,53.9736,43.66508,1.049046,0.2864553,0.3716177,0.0154841,16.15763,24.73193,37317,22.2,30.9,6,0.246407,2,0.082136,13,0.533881,1,0.041068,22.08333,0.9151533,25,1.02669,13,0.533881,674.803,512.281,24063,0,2,0.08361204,50,100,48.30097,10,500,2843000,0.22,0.11,0.09,0.04,0.06,0.03,0.09,0.13,0,0,0,0,0,22.9,5640,25.7,1420,2.95,347058.47,6.36901
1027,AL,Clay,S,37.7,80.28998,14.69997,2.86391,0.1650876,0.3947746,0,17.57824,22.56675,38908,18.4,27.3,3,0.223714,0,0,6,0.447427,0,0,7.083333,0.5296941,4,0.298285,8,0.59657,674.803,512.281,13350,0,2,0.15065913,0,0,48.30097,0,0,1025000,0.05,0.02,0.03,0.01,0.01,0.01,0.04,0,0,0,0,0,0,14.5,1940,21.5,620,3.09,116561.49,6.36901
1029,AL,Cleburne,S,30,93.214,3.299492,2.050494,0.1536201,0.3339567,0.0066791,15.76944,23.71761,42136,18.9,27.7,2,0.134472,0,0,12,0.806831,0,0,8.083333,0.5429303,5,0.33618,2,0.134472,674.803,512.281,14899,0,1,0.06672449,100,100,48.30097,0,0,1023000,0.05,0.02,0.04,0.01,0.01,0.01,0.05,0,0,0,0,0,0,13.5,2020,24,830,2.97,141533.1,6.36901
1031,AL,Coffee,S,30.2,72.34324,16.53119,6.366621,1.25931,1.205253,0.1021062,14.43501,24.19316,46858,16.2,23.7,7,0.136673,1,0.019525,29,0.566218,0,0,24.83333,0.4796858,40,0.780991,31,0.605268,674.803,512.281,51853,0,2,0.03852896,50,100,48.30097,0,0,4165000,0.21,0.06,0.03,0.02,0.05,0.02,0.17,0.02,0.01,0,0,0,0.01,14.2,7240,21.9,2660,3.37,276972.32,6.36901
1033,AL,Colbert,S,36.6,79.61711,15.98809,2.008157,0.4115529,0.4813699,0.0257221,17.38627,22.10994,41171,18.1,26.9,8,0.147256,1,0.018407,45,0.828317,4,0.073628,36,0.6607525,53,0.975574,36,0.662654,674.803,512.281,54695,0,2,0.03652168,50,50,48.30097,11,550,3787000,0.2,0.07,0.03,0.04,0.05,0.03,0.17,0.02,0,0,0,0,0,14.7,8000,22.2,2600,2.77,166642.46,6.36901
