Unnamed: 0_x,fips,state_x,county_x,grocery_16,grocery_per1kpop_16,super_16,super_per1kpop_16,convenience_16,convenience_per1kpop_16,specialty_16,specialty_per1kpop_16,snap_available_17,snap_available_per1kpop_17,wic_available_16,wic_available_per1kpop_16,Unnamed: 0_y,state_y,county_y,pop_low_access_15,percent_pop_low_access_15,low_income_low_access_15,percent_low_income_low_access_15,no_car_low_access_15,percent_no_car_low_access_15,snap_low_access_15,percent_snap_low_access_15,child_low_access_15,percent_child_low_access_15,senior_low_access_15,percent_senior_low_access_15,white_low_access_15,percent_white_low_access_15,black_low_access_15,percent_black_low_access_15,hispanic_low_access_15,percent_hispanic_low_access_15,asian_low_access_15,percent_asian_low_access_15,nhna_low_access_15,percent_nhna_low_access_15,nhpi_low_access_15,percent_nhpi_low_access_15,multiracial_low_access_15,percent_multiracial_low_access_15,Unnamed: 0,state_x,county_x,fast_food_16,fast_food_1000_16,full_service_16,full_service_1000_16,fast_food_exp_percap_12,full_service_exp_percap_12,popestimate17,state_y,fi_rate,total_fi_people,child_fi_rate,num_fi_children,cost_per_meal,est_annual_food_budget_shortfall,region_x,state_x,county_y,snap_auth_stores_17_x,snap_auth_stores_chg_12_17_x,snap_bens_per_cap_17_x,snap_bens_per_cap_chg_12_17_x,school_lunch_prog_17_x,school_lunch_prog_chg_12_17_x,school_bfast_prog_17_x,school_bfast_prog_chg_12_17_x,smr_food_prog_17_x,smr_food_prog_12_17_x,wic_parts_pop_17_x,wic_parts_pop_12_17_x,food_banks_18_x,state_y,county_x,snap_auth_stores_17_y,snap_auth_stores_chg_12_17_y,snap_bens_per_cap_17_y,snap_bens_per_cap_chg_12_17_y,school_lunch_prog_17_y,school_lunch_prog_chg_12_17_y,school_bfast_prog_17_y,school_bfast_prog_chg_12_17_y,smr_food_prog_17_y,smr_food_prog_12_17_y,wic_parts_pop_17_y,wic_parts_pop_12_17_y,food_banks_18_y,state,county_y,farmers_markets,farmers_markets_per_1000,fm_accepts_snap,pct_fm_accepting_snap,fm_accept_wic,pct_fm_accept_wic,fm_accept_credit,pct_fm_credit,fm_sell_frveg,pct_fm_sell_frveg,region_y,State,County,2017
0,1001,AL,Autauga,3,0.0542711,1,0.0180904,31,0.560801766,1,0.0180904,44.66666667,0.804746805,5.0,0.090510845,0,AL,Autauga,17496.69304,0.32,6543.676824,0.12,677.6727692,0.03,931.9351864,0.05,4616.97148,0.08,2180.809285,0.04,12640.61541,0.23,4216.473194,0.08,471.1361644,0.01,86.76797517,0.0,61.16986917,0.0,8.817960727,0.0,482.8486329,0.01,0,AL,Autauga,44,0.7959767,31,0.560801766,674.8027204,512.2809873,55390.0,AL,13.2,7270.0,19.8, 2670 ,3.19,3957000.0,S,AL,Autauga,223185.6784,-25.95821999,16.3546772,-11.45987797,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Autauga,223185.6784,-25.95821999,16.3546772,-11.45987797,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Autauga,1.0,0.01798528805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,S,Alabama,Autauga,30.9
1,1003,AL,Baldwin,29,0.139752975,7,0.0337335,118,0.568650034,27,0.130114838,189.4166667,0.890835951,28.0,0.134802029,1,AL,Baldwin,30561.26443,0.17,9886.831137,0.05,1394.162766,0.02,950.5352897,0.01,7007.972675,0.04,5580.66279,0.03,25483.18681,0.14,3540.965826,0.02,1377.874834,0.01,212.9463784,0.0,181.6496483,0.0,14.81963381,0.0,1127.696098,0.01,1,AL,Baldwin,156,0.751774622,236,1.137300069,674.8027204,512.2809873,212521.0,AL,11.6,23560.0,18.9, 8480 ,3.57,14361000.0,S,AL,Baldwin,157623.1336,-42.55601644,11.47935963,-27.76061821,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Baldwin,157623.1336,-42.55601644,11.47935963,-27.76061821,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Baldwin,4.0,0.0183467716,0.0,0.0,0.0,0.0,2.0,50.0,3.0,75.0,S,Alabama,Baldwin,26.7
2,1005,AL,Barbour,4,0.155195158,1,0.0387988,19,0.737177,2,0.077597579,36.0,1.424614167,6.0,0.232387006,2,AL,Barbour,6069.523628,0.22,2948.790251,0.11,425.1449274,0.04,422.5690403,0.04,1031.927776,0.04,824.1752624,0.03,2828.876711,0.1,2713.12493,0.1,509.3775251,0.02,17.09641004,0.0,39.96052669,0.0,8.082375985,0.0,462.382655,0.02,2,AL,Barbour,23,0.892372158,14,0.543183053,674.8027204,512.2809873,25157.0,AL,22.0,5760.0,27.6, 1520 ,3.09,3035000.0,S,AL,Barbour,257032.0789,-21.03385723,29.12214661,-6.408476353,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Barbour,257032.0789,-21.03385723,29.12214661,-6.408476353,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Barbour,4.0,0.1607652456,2.0,50.0,0.0,0.0,2.0,50.0,2.0,50.0,S,Alabama,Barbour,40.8
3,1007,AL,Bibb,5,0.220916361,1,0.0441833,15,0.662749083,0,0.0,18.16666667,0.801423446,5.0,0.221474126,3,AL,Bibb,969.378841,0.04,596.1628288,0.03,224.3881246,0.03,53.81877202,0.01,232.6426702,0.01,137.6882309,0.01,540.5122387,0.02,419.0999425,0.02,8.596762482,0.0,1.994317987,0.0,2.513097181,0.0,0.0,0.0,5.259244042,0.0,3,AL,Bibb,7,0.309282905,7,0.309282905,674.8027204,512.2809873,22550.0,AL,14.3,3240.0,22.1, 1050 ,3.05,1684000.0,S,AL,Bibb,227725.2451,-36.11192089,17.55779076,-21.73945999,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Bibb,227725.2451,-36.11192089,17.55779076,-21.73945999,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Bibb,1.0,0.04464285821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Alabama,Bibb,40.1
4,1009,AL,Blount,5,0.086862861,1,0.0173726,27,0.469059449,0,0.0,40.16666667,0.692373548,8.0,0.139089316,4,AL,Blount,3724.428242,0.06,1650.959482,0.03,719.931444,0.03,175.3703384,0.01,910.686113,0.02,505.9142824,0.01,3387.241266,0.06,95.84268727,0.0,497.4898913,0.01,8.428994396,0.0,28.93824223,0.0,1.062851177,0.0,202.9141865,0.0,4,AL,Blount,23,0.39956916,12,0.208470866,674.8027204,512.2809873,57787.0,AL,10.7,6140.0,21.2, 2880 ,3.1,3249000.0,S,AL,Blount,142860.8256,-37.81360228,12.3779726,-38.94146347,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Blount,142860.8256,-37.81360228,12.3779726,-38.94146347,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Blount,1.0,0.01728907414,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,S,Alabama,Blount,32.4
5,1011,AL,Bullock,3,0.2873288,0,0.0,6,0.5746576,0,0.0,10.16666667,0.986193294,3.0,0.288989514,5,AL,Bullock,4141.900365,0.38,2154.7893,0.2,415.8613008,0.11,225.322525,0.06,616.7153899,0.06,566.5393544,0.05,1462.196457,0.13,2634.506685,0.24,24.07888941,0.0,0.968748205,0.0,7.70528758,0.0,0.0,0.0,36.52317132,0.0,5,AL,Bullock,3,0.2873288,1,0.095776267,674.8027204,512.2809873,10176.0,AL,24.8,2600.0,27.9, 600 ,3.23,1432000.0,S,AL,Bullock,170993.9213,-19.18578422,31.25101089,-7.793587208,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Bullock,170993.9213,-19.18578422,31.25101089,-7.793587208,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Bullock,1.0,0.09863878787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Alabama,Bullock,44.5
6,1013,AL,Butler,3,0.15026296,1,0.0500877,22,1.101928375,0,0.0,24.91666667,1.256830601,4.0,0.199710414,6,AL,Butler,1304.328756,0.06,612.9347608,0.03,320.168301,0.04,91.43779529,0.01,264.1401156,0.01,254.7681402,0.01,729.7324117,0.03,550.9011026,0.03,11.08490189,0.0,4.955498356,0.0,7.298759186,0.0,0.0,0.0,11.44098716,0.0,6,AL,Butler,18,0.901577761,9,0.450788881,674.8027204,512.2809873,19888.0,AL,20.6,4160.0,24.7, 1130 ,2.92,2075000.0,S,AL,Butler,302939.2254,-12.34520905,27.97814178,-14.35584068,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Butler,302939.2254,-12.34520905,27.97814178,-14.35584068,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Butler,2.0,0.1016260162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,S,Alabama,Butler,36.0
7,1015,AL,Calhoun,27,0.234823448,4,0.0347887,84,0.730561837,1,0.0086972,136.0,1.185412454,20.0,0.173885822,7,AL,Calhoun,27785.98677,0.23,10883.20997,0.09,1235.289629,0.03,1931.256358,0.04,6167.764487,0.05,4455.312468,0.04,21058.35896,0.18,5465.72518,0.05,970.8931906,0.01,235.0712025,0.0,118.2965151,0.0,21.96150679,0.0,886.5734644,0.01,7,AL,Calhoun,95,0.826230649,75,0.652287354,674.8027204,512.2809873,114710.0,AL,15.7,18100.0,22.6, 5750 ,2.95,9098000.0,S,AL,Calhoun,235151.7624,-25.4947015,22.04634666,-26.45145416,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Calhoun,235151.7624,-25.4947015,22.04634666,-26.45145416,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Calhoun,2.0,0.01750133373,1.0,50.0,0.0,0.0,1.0,50.0,2.0,100.0,S,Alabama,Calhoun,32.0
8,1017,AL,Chambers,7,0.207610404,1,0.0296586,22,0.652489842,1,0.0296586,35.66666667,1.05794995,6.0,0.17766723,8,AL,Chambers,7131.505717,0.21,3533.916216,0.1,730.2010667,0.05,502.6320283,0.04,1595.35385,0.05,1266.433475,0.04,4281.110416,0.13,2616.963013,0.08,126.7866311,0.0,108.4934056,0.0,20.68814574,0.0,0.061101226,0.0,104.1896201,0.0,8,AL,Chambers,29,0.860100246,18,0.533855325,674.8027204,512.2809873,33707.0,AL,17.9,6070.0,22.1, 1610 ,2.86,2961000.0,S,AL,Chambers,270507.9227,-17.51192388,23.49489403,-17.79821014,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Chambers,270507.9227,-17.51192388,23.49489403,-17.79821014,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Chambers,1.0,0.02974862419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,S,Alabama,Chambers,39.8
9,1019,AL,Cherokee,5,0.19405418,1,0.0388108,18,0.698595048,0,0.0,27.41666667,1.060318934,4.0,0.155183122,9,AL,Cherokee,103.5224989,0.0,57.46490172,0.0,299.8869228,0.03,4.888563305,0.0,18.74760093,0.0,13.77900349,0.0,100.8908362,0.0,1.410913298,0.0,0.348952026,0.0,0.0,0.0,0.217044921,0.0,0.0,0.0,1.003704677,0.0,9,AL,Cherokee,15,0.58216254,12,0.465730032,674.8027204,512.2809873,25805.0,AL,12.5,3230.0,20.6, 1070 ,3.25,1794000.0,S,AL,Cherokee,174410.5291,-28.03506355,16.68471527,-39.15684509,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Cherokee,174410.5291,-28.03506355,16.68471527,-39.15684509,63.12658957,-5.099453542,33.47535394,6.269025798,6.369005538,3.208685689,2.543569611,-0.404112671,0,AL,Cherokee,1.0,0.03841425851,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,S,Alabama,Cherokee,32.7
